Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity
64,56,50,53,51,48,96,83,58
71,62,55,55,52,46,96,80,51
64,58,53,55,53,51,97,85,72
59,56,52,52,51,50,96,88,75
69,59,50,52,50,46,96,72,49
62,58,55,51,50,46,80,71,58
61,57,55,56,53,51,96,87,75
55,54,53,54,53,51,100,94,86
57,55,53,56,54,52,100,96,83
61,56,53,53,52,51,100,90,75
57,56,54,56,54,51,100,94,84
59,56,55,58,56,55,100,97,93
57,56,55,58,56,55,100,98,94
61,58,55,58,56,51,100,94,83
64,58,55,53,51,48,93,78,64
61,56,52,51,49,47,89,76,64
59,55,51,52,50,48,93,84,75
63,56,51,54,52,50,100,84,67
60,57,54,55,53,51,97,88,75
57,55,52,54,52,50,94,89,77
69,60,52,53,51,50,97,77,52
63,59,55,56,54,52,90,84,77
62,58,55,54,52,50,87,80,72
59,57,54,54,52,51,94,84,78
57,55,53,55,53,51,100,92,81
57,55,53,57,55,54,100,96,93
61,58,55,55,54,53,100,92,78
59,56,53,57,54,51,97,94,90
61,56,51,54,52,49,96,89,75
61,57,54,55,53,52,97,88,78
66,58,50,55,52,49,100,86,65
